iter	Passed	Remaining
977	11021	247
978	11029	236
979	11038	225
980	11047	213
981	11057	202
982	11069	191
983	11078	180
984	11088	168
985	11101	157
986	11109	146
987	11118	135
988	11127	123
989	11136	112
990	11144	101
991	11154	89
992	11162	78
993	11171	67
994	11180	56
995	11190	44
996	11199	33
997	11208	22
998	11217	11
999	11226	0
